#	title	FORMAL DECISION	authors	type	keywords
2	2nd International Workshop on Data Management for Knowledge Graphs (DMKG 2026)	half day	Ruben Taelman, Olaf Hartig and Katja Hose	Established	Data Management Knowledge Graphs Storage Management Quality Analytics Exploration Querying Benchmarking
3	ELMKE 2026: The 4th Workshop on Evaluation of Language Models in Knowledge Engineering	half day	Reham Alharbi, Anna Sofia Lippolis, Bohui Zhang and Yuan He	Established	Language Models Knowledge Engineering Ontology Engineering Evaluation Benchmarks Dataset
4	6th Wikidata Workshop	full day	Nicolas Ferranti, Marcelo de Oliveira Costa Machado, Jorão Gomes Jr., Simon Razniewski, Axel Polleres, Markus Kroetzsch and Peter Patel-Schneider	Established	Wikidata Knowledge-centric systems LLMs
5	6th International Workshop on Scientific Knowledge Representation, Discovery, and Assessment (Sci-K 2026)	full day	Allard Oelen, Anna Jacyszyn, Andrea Mannocci, Francesco Osborne, Georg Rehm, Angelo Salatino, Sonja Schimmler and Lise Stork	Established	Knowledge Graphs Research Impact Research Assessment Science Of Science Knowledge Discovery Scholarly Data
6	WikiKGQA: Wiki-Based Knowledge Graph Question Answering Challenge	half day	Shakeeb Arzoo, Debayan Banerjee, Philipp Cimiano, Aidan Hogan, Alberto Moya Loustaunau, David Maria Schmidt and Ricardo Usbeck	Workshop and Challenge / Competition	Knowledge Graph Question Answering Question Answering over Linked Data Text-to-SPARQL SPARQL Query Generation
7	Graph-Enhanced LLMs for Trustworthy Web Data Management	half day	Gianluca Bonifazi, Stefano Cirillo, Eliana Pastor and Luca Virgili	Established	Large Language Models Knowledge Graphs Property Graphs Data Management Trustworthy AI Explainability Graph-based Reasoning Retrieval-Augmented Generation Natural Language Querying Agentic AI
8	Workshop on Knowledge Graphs and  Model-driven Systems Engineering (KGMDSE)	half day	Robert Andrei Buchmann, Dimitris Karagiannis and Dimitris Plexousakis	Crossover	Knowledge Graphs Model-driven Systems Engineering Enterprise Modeling Enterprise Context Domain-specific Modeling
9	SeMatS 2026 Third International Workshop on Semantic Materials Science: Harnessing the Power of Semantic Web Technologies in Materials Science	half day	Andre Valdestilhas, Huanyu Li, Patrick Lambrix and Harald Sack	Established	Materials Science Engineering Semantic Web Knowledge Graphs
10	21st International Workshop on Ontology Matching (OM-2026)	full day	Ernesto Jiménez-Ruiz, Sven Hertling, Huanyu Li, Cassia Trojahn, Oktie Hassanzadeh, Pavel Shvaiko and Jérôme Euzenat	Established	ontology matching knowledge graph matching entity matching
11	International Workshop on Structures to Stories: Multilingual NLP for Semantic Structured Data (IWSS)	half day	Virginia Ramón Ferrer, Lia Draetta, Michael Oliverio, Rossana Damiano and Carlos Badenes-Olmedo	Novel, Crossover	Structured data Multilingual NLP Semantic representation
12	Fourth International Workshop on Semantic Industrial Information Modelling (SemIIM)	half day	Jieying Chen, Eduard Kamburjan, Baifan Zhou and Arild Waaler	Established	Semantic Information Modelling Industrial Knowledge Graphs Digital Twins Ontologies Data Semantics at Scale
13	KG-NeSy: The Third Workshop on Knowledge Graphs and Neurosymbolic AI	half day	Shqiponja Ahmetaj, Fajar J. Ekaputra, Sebastian Neumaier, Andreas Ekelhart and Cogan Shimizu	Established	Neurosymbolic AI Knowledge Graphs Knowledge Engineering
14	Data-Driven Storytelling: Bridging Knowledge Graphs, GenAI, and Narrative (DDS 2026)	half day	Pasquale Lisena, Maria Angela Pellegrino, Lisa-Yao Gan, Yihang Zhao and Yiwen Xing	Novel	computational storytelling data-driven storytelling llm genai semantic web nlp hci
15	NLP4KGC 2026: 5th International Workshop on Natural Language Processing for Knowledge Graph Construction	half day	Edlira Vakaj, Nandana Mihindukulasooriya and Rizou Stamatia	Established	Knowledge Graph Semantic Web Natural Language Understanding Large Language Models Responsible AI
16	3rd International Workshop on Retrieval-Augmented Generation Enabled by Knowledge Graphs (RAGE-KG 2026)	full day	Daniel Dobriy, Marco Antonio Stranisci, Arianna Graciotti, Blerina Spahiu and Sahar Vahdati	Established	Knowledge Graphs Retrieval-Augmented Generation Knowledge-Augmented Generation Agentic RAG Large Language Models
17	SPARK 2026 - First International Workshop on Spatial Intelligence and Reasoning Enabled by Knowledge Graphs	half day	Amin Anjomshoaa, Manolis Koubarakis and Hamid Rabiei	Novel, Crossover	Spatial Knowledge Graphs Spatial Intelligence Geodata
18	6th International Workshop on Semantic Web and Ontology Design for Cultural Heritage, SWODCH 2026	full day	Luca Biccheri, Antonis Bikakis, Roberta Ferrario, Béatrice Markhoff, Alessandro Mosca and Marianna Nicolosi-Asmundo	Established	Cultural heritage Digital humanities Applied Ontologies
19	LLMs4OL 2026: Large Language Models for Ontology Learning	half day	Hamed Babaei Giglou, Jennifer D'Souza and Sören Auer	Workshop and Challenge / Competition	LLMs4OL Ontology Learning Large Language Models Challenge
20	AIAA4KE: 1st Workshop on AI-assisted Approaches to Knowledge Engineering	half day	Patrik Schneider, Felix Sasaki, Evgeny Kharlamov, Nishtha Vaidya, Thomas Hubauer and Michael Hladik	Crossover	AI Assistants for Knowledge Engineering Ontology matching KG construction Industrial applications Industrial use cases Industrial data
21	17th Workshop on Ontology Design and Patterns (WOP)~2026	full day	Abhilekha Dalal, Farhad Ameri, Christian Kindermann, Gunjan Singh, Alice Augustine and María Poveda-Villalón	Established	Ontology Design Patterns Knowledge Graphs Semantic Web Knowledge Engineering
22	HAIBridge 2026: The 2nd Workshop on Bridging Hybrid (Artificial) Intelligence and the Semantic Web	half day	Alexis Ellis, Cogan Shimizu and Mark Adamik	Novel, Crossover, Established	Semantic Web Neurosymbolic AI Human Factors Hybrid Collaboration
23	International Workshop on Explainable AI and Knowledge Graphs (XAI+KG)	half day	Roberto Barile, Roberto Confalonieri, Claudia D'Amato and Ernesto Jimenez-Ruiz	Crossover	Explanation Knowledge Graphs Neural-Symbolic AI